source,destination
005510017,008020347
005510017,008031922
005510017,008101003
005510017,008101114
005510017,008103171
005510017,008503000
005510033,002232030
005510033,002238000
005510033,005103865
005510033,005310017
005510033,005310770
005510033,005311906
005510033,005321834
005510033,005332015
005510033,005433295
005510033,005433425
005510033,005455659
005510033,005457076
005510033,005501404
005510033,005501438
005510033,005501453
005510033,005501511
005510033,005510017
005510033,005510447
005510033,005510504
005510033,005510835
005510033,005511387
005510033,005513482
005510033,005513664
005510033,005513722
005510033,005513748
005510033,005513821
005510033,005513912
005510033,005514019
005510033,005514175
005510033,005515495
005510033,005516840
005510033,005516881
005510033,005516915
005510033,005517111
005510033,005517228
005510033,005518572
005510033,008006050
005510033,008031922
005510074,005501404
005510074,005501438
005510124,005501511
005510140,005433295
005510140,005457076
005510140,005510447
005510140,005510504
005510173,005330691
005510173,005501024
005510173,005503160
005510173,005503178
005510173,005503269
005510173,005503491
005510173,005513664
005510173,005513722
005510173,005513748
005510173,005516824
005510173,005516881
005510173,005516915
005510207,005501453
005510447,005510033
005510447,005510140
005510447,005510645
005510447,005510694
005510447,005510967
005510447,005511163
005510447,005511205
005510504,005503491
005510504,005510033
005510504,005510140
005510645,005510447
005510694,005510447
005510694,005510967
005510835,005510033
005510967,005510447
005510967,005510694
005510967,005511163
005510967,005511205
005511122,005510017
005511130,005510017
005511163,005510017
005511163,005510447
005511163,005510967
005511205,005510017
005511205,005510447
005511205,005510967
005511205,005511296
005511205,005511809
005511205,005511924
005511205,005512096
005511205,005512401
005511205,005513748
005511239,005511296
005511239,005511692
005511239,005512039
005511239,005513748
005511288,005512310
005511288,005513821
005511296,005510017
005511296,005511205
005511296,005511239
005511296,005511387
005511296,005511445
005511296,005512401
005511296,005513482
005511296,005513912
005511296,005514019
005511296,005514522
005511296,005514555
005511387,005503491
005511387,005510017
005511387,005510033
005511387,005511296
005511387,005511445
005511387,005512781
005511387,005512880
005511387,005512963
005511387,005513045
005511387,005513243
005511387,005513482
005511387,005514019
005511387,005613600
005511445,005511296
005511445,005511387
005511445,005513300
005511445,005513482
005511445,005514019
005511494,005514860
005511601,005510017
005511643,005510017
005511643,005513748
005511692,005511239
005511692,005512039
005511809,005511205
005511924,005511205
005512039,005511239
005512039,005511692
005512039,005513748
005512096,005510017
005512096,005511205
005512310,005511288
005512310,005512344
005512310,005513821
005512344,005512310
005512401,005510017
005512401,005511205
005512401,005511296
005512401,005512492
005512492,005512401
005512781,005510017
005512781,005511387
005512880,005511387
005512963,005511387
005513045,005511387
005513243,005511387
005513300,005511445
005513482,005510017
005513482,005510033
005513482,005511296
005513482,005511387
005513482,005511445
005513664,005510033
005513664,005510173
005513722,005510033
005513722,005510173
005513722,005513748
005513722,005517111
005513748,005503491
005513748,005504309
005513748,005510017
005513748,005510033
005513748,005510173
005513748,005511205
005513748,005511239
005513748,005511643
005513748,005512039
005513748,005513722
005513748,005513912
005513748,005514019
005513748,005514175
005513748,005517111
005513748,005517285
005513748,005517848
005513748,005518036
005513748,005518069
005513748,005518184
005513748,005518572
005513821,005510033
005513821,005511288
005513821,005512310
005513847,005513912
005513862,005332663
005513862,005513912
005513862,005514019
005513862,005514175
005513862,005514449
005513862,005518457
005513862,005518465
005513912,005341638
005513912,005345452
005513912,005510033
005513912,005511296
005513912,005513748
005513912,005513847
005513912,005513862
005513912,005514019
005513912,005514175
005513912,005514563
005513912,005514860
005513912,005514977
005513912,005515024
005513912,005515040
005513912,005515180
005513912,005515495
005513912,005515826
005513912,005515990
005514019,002238000
005514019,005503350
005514019,005510017
005514019,005510033
005514019,005511296
005514019,005511387
005514019,005511445
005514019,005513748
005514019,005513862
005514019,005513912
005514019,005514175
005514019,005514860
005514019,005515495
005514019,005515933
005514175,002238010
005514175,005503491
005514175,005504309
005514175,005510033
005514175,005513748
005514175,005513862
005514175,005513912
005514175,005514019
005514175,005515495
005514175,005515768
005514175,005515826
005514175,005515933
005514449,005513862
005514466,005515180
005514522,005510017
005514522,005511296
005514522,005514563
005514522,005515180
005514555,005511296
005514563,005510017
005514563,005513912
005514563,005514522
005514670,005514860
005514860,005511494
005514860,005513912
005514860,005514019
005514860,005514670
005514977,005513912
005515024,005513912
005515040,005513912
005515180,005513912
005515180,005514466
005515180,005514522
005515453,005515495
005515495,005510033
005515495,005513912
005515495,005514019
005515495,005514175
005515495,005515453
005515495,005515768
005515495,005515826
005515495,005515933
005515495,005515990
005515719,005515933
005515768,005514175
005515768,005515495
005515768,005515826
005515768,005515933
005515826,005513912
005515826,005514175
005515826,005515495
005515826,005515768
005515933,005514019
005515933,005514175
005515933,005515495
005515933,005515719
005515933,005515768
005515990,005513912
005515990,005515495
005516618,005516709
005516709,005501016
005516709,005501024
005516709,005503269
005516709,005505926
005516709,005506189
005516709,005506684
005516709,005506742
005516709,005506767
005516709,005507146
005516709,005516618
005516758,005517111
005516758,005517137
005516824,005510173
005516824,005516915
005516840,005510033
005516881,005510033
005516881,005510173
005516881,005517111
005516915,005510033
005516915,005510173
005516915,005516824
005516915,005517111
005516956,005517111
005517111,005510033
005517111,005513722
005517111,005513748
005517111,005516758
005517111,005516881
005517111,005516915
005517111,005516956
005517111,005517137
005517111,005517228
005517111,005517285
005517111,005517749
005517137,005516758
005517137,005517111
005517137,005517152
005517137,005517228
005517137,005517285
005517137,005518184
005517137,005518572
005517137,005518614
005517152,005517137
005517228,005503491
005517228,005510033
005517228,005517111
005517228,005517137
005517228,005518036
005517228,005518614
005517228,005518697
005517228,007223450
005517285,005513748
005517285,005517111
005517285,005517137
005517749,005517111
005517806,005518184
005517848,005513748
005517848,005518036
005517848,005518069
005517848,005518259
005517848,005518317
005517848,005518614
005517848,005519166
005517863,005518465
005518036,005335407
005518036,005504598
005518036,005510017
005518036,005513748
005518036,005517228
005518036,005517848
005518036,005518069
005518036,005518465
005518036,005518614
005518036,005518747
005518036,005519166
005518051,005518069
005518051,005519166
005518069,005510017
005518069,005513748
005518069,005517848
005518069,005518036
005518069,005518051
005518135,005518184
005518184,005513748
005518184,005517137
005518184,005517806
005518184,005518135
005518184,005518317
005518184,005518572
005518184,005518614
005518259,005517848
005518317,005517848
005518317,005518184
005518317,005518614
005518358,005519166
005518457,005513862
005518465,005335407
005518465,005513862
005518465,005517863
005518465,005518036
005518572,005510033
005518572,005513748
005518572,005517137
005518572,005518184
005518614,005517137
005518614,005517228
005518614,005517848
005518614,005518036
005518614,005518184
005518614,005518317
005518614,005519166
005518697,005517228
005518747,005335407
005518747,005518036
005519166,005517848
005519166,005518036
005519166,005518051
005519166,005518358
005519166,005518614
005519166,005519281
005519281,005519166
005546847,005546912
005546912,005546847
005549338,005549452
005549437,005549452
005549445,005549452
005549452,005549338
005549452,005549437
005549452,005549445
005613600,005510017
005613600,005511387
005614576,004301974
005614576,005501362
005614616,004301974
005614616,005501362
007223450,005517228
007871705,005507294
007871705,005507468
007872480,005501016
007872480,005501024
007872480,005510017
007876660,005510017
007942300,005501016
007942300,005501024
007942300,005503996
007942300,005510017
007942300,008103171
007943777,005504895
007944352,005510017
008001093,005510017
008006050,005510033
008020347,005501024
008020347,005510017
008031922,005510017
008031922,005510033
008101003,002232030
008101003,002238010
008101003,004302667
008101003,005310017
008101003,005341638
008101003,005501024
008101003,005501289
008101003,005501362
008101003,005510017
008101003,008103199
008101003,008103282
008101003,008133214
008101114,005501024
008101114,005510017
008102974,004302667
008102974,005501289
008102974,005501362
008102976,005501362
008103006,008133028
008103171,005501024
008103171,005510017
008103171,007942300
008103199,008101003
008103217,008103282
008103282,008101003
008103282,008103217
008103282,008133214
008133028,008103006
008133214,008101003
008133214,008103282
008503000,005501024
008503000,005510017
